cohort	N_childhood	N_early-onset	N_persistent
ALSPAC	673 (343, 330)	667 (169, 498)	662 (125, 537)
CHS	197 (50, 147)	197 (41, 156)	197 (35, 162)
EDEN	153 (69, 84)	142 (48, 94)	126 (18, 108)
GENR	450 (69, 381)	742 (171, 571)	415 (39, 376)
INMA	304 (144, 160)	344 (81, 263)	NA
MoBa1	828 (398, 430)	988 (360, 628)	517 (87, 430)
MoBa2	418 (179, 239)	386 (210, 176)	237 (61, 176)
NEST_B	77 (56, 21)	119 (30, 89)	NA
NEST_W	41 (22, 19)	NA	NA
PREDO	792 (54, 738)	NA	NA
VITO	78 (23, 55)	70 (15, 55)	66 (11, 55)
GOYA	517 (93, 424)	517 (39, 478)	517 (33, 484)
IOW	605 (177, 428)	644 (97, 547)	452 (24, 428)
Total	5133 (1677, 3456)	5846 (1528, 4317)	3189 (433, 2756)
DCHS	NA	265 (25, 240)	NA
IOW-F2	NA	158 (26, 132)	NA
UKIDS	NA	607 (216, 390)	NA
